iso3c|year|fmratio
MNG|1991|87.2559159038637
MNG|1992|87.5427694668201
MNG|1993|87.6760563380282
MNG|1994|87.6307927996936
MNG|1995|87.4629342264968
MNG|1996|87.4229308568705
MNG|1997|87.3438775353056
MNG|1998|87.2854565361543
MNG|1999|87.2379187895631
MNG|2000|87.2326626414861
MNG|2001|87.1927274976037
MNG|2002|87.1281606346058
MNG|2003|87.0532452390206
MNG|2004|86.8445991082664
MNG|2005|86.6375830590573
MNG|2006|86.4308432239547
MNG|2007|86.2228286148408
MNG|2008|85.7730812013348
MNG|2009|84.8024124157312
MNG|2010|83.7466757375224
MNG|2011|82.6653216092508
MNG|2012|82.5285018140968
MNG|2013|82.3929216544714
MNG|2014|82.3754905377354
MNG|2015|81.6909735908553
MNG|2016|81.4689735998026
MNG|2017|82.2657991997312
MNG|2018|77.0765895524604
MNG|2019|79.1009195141333
MNG|2020|77.9782814663654
MNG|2021|76.828663712161
MNG|2022|78.1903811731565
MNG|2023|77.8796197898217
MNE|1991|75.0844993958074
MNE|1992|75.0716532680881
MNE|1993|75.0698616738857
MNE|1994|75.0853242320819
MNE|1995|75.112772716901
MNE|1996|75.1407459535538
MNE|1997|75.1629841068471
MNE|1998|75.2111531257731
MNE|1999|75.1268857238194
MNE|2000|75.1522083406652
MNE|2001|75.157979968668
MNE|2002|75.1717577423105
MNE|2003|75.1895876688653
MNE|2004|75.2311581776073
MNE|2005|75.277334751019
MNE|2006|75.3822602751918
MNE|2007|75.482211744535
MNE|2008|75.5993120005733
MNE|2009|75.4918604027805
MNE|2010|75.534522552826
MNE|2011|75.5881246304624
MNE|2012|76.4055978394304
MNE|2013|76.8343429022913
MNE|2014|77.6596458277435
MNE|2015|79.2549657875506
MNE|2016|77.0020998223227
MNE|2017|76.2783088471162
MNE|2018|74.8137687007263
MNE|2019|76.501888350331
MNE|2020|76.5796318856804
MNE|2021|77.3802010001457
MNE|2022|76.8766609348132
MNE|2023|77.1719788967627
MAR|1991|29.5760252365931
MAR|1992|29.6265153987099
MAR|1993|29.7199954979178
MAR|1994|30.2038958904802
MAR|1995|30.2230627606678
MAR|1996|30.805669147342
MAR|1997|31.0034549527317
MAR|1998|31.5345076081272
MAR|1999|31.8504157951125
MAR|2000|32.1600020427966
MAR|2001|32.6745158592292
MAR|2002|32.1745331950207
MAR|2003|32.6290438065482
MAR|2004|33.0897826342688
MAR|2005|33.5582274493332
MAR|2006|34.0312479398774
MAR|2007|34.5111646756549
MAR|2008|34.998004523081
MAR|2009|34.8149937593107
MAR|2010|34.6364251861882
MAR|2011|34.2937005726752
MAR|2012|33.6144644727413
MAR|2013|34.3921078227039
MAR|2014|34.7661613472693
MAR|2015|34.5693356192527
MAR|2016|33.3982835938507
MAR|2017|32.7080993567772
MAR|2018|32.0010961749264
MAR|2019|31.266923186547
MAR|2020|30.3242091747403
MAR|2021|29.6872762679344
MAR|2022|28.4479758728686
MAR|2023|29.0234220510041
MOZ|1991|106.366701403788
MOZ|1992|107.033473370375
MOZ|1993|107.558650029062
MOZ|1994|107.990224659166
MOZ|1995|108.391286498053
MOZ|1996|108.224403578529
MOZ|1997|108.145296491773
MOZ|1998|107.674433053743
MOZ|1999|107.190371392692
MOZ|2000|106.694284790127
MOZ|2001|106.183642225016
MOZ|2002|105.658497708707
MOZ|2003|105.121528859211
MOZ|2004|104.571457058464
MOZ|2005|104.005834829443
MOZ|2006|103.425955950213
MOZ|2007|102.833154519823
MOZ|2008|102.226187653643
MOZ|2009|101.603864251925
MOZ|2010|100.966243882952
MOZ|2011|100.315890674358
MOZ|2012|99.6503583826578
MOZ|2013|98.9697030247022
MOZ|2014|98.2752160663436
MOZ|2015|97.5644788609255
MOZ|2016|97.7940716457502
MOZ|2017|98.0813362928407
MOZ|2018|98.4096452188781
MOZ|2019|98.7595961123927
MOZ|2020|98.76041998091
MOZ|2021|99.1864112831238
MOZ|2022|98.3514688513055
MOZ|2023|98.4174196787149
MMR|1991|83.032686993979
MMR|1992|81.8751433641994
MMR|1993|81.2041062801932
MMR|1994|80.3545319429172
MMR|1995|79.5935391832096
MMR|1996|78.9178923940391
MMR|1997|78.3566285472258
MMR|1998|77.775894424602
MMR|1999|76.6052098864201
MMR|2000|75.1630177407016
MMR|2001|74.0275852003211
MMR|2002|72.868859451357
MMR|2003|71.5978789433815
MMR|2004|70.4278677677849
MMR|2005|69.3347755543537
MMR|2006|68.358801692135
MMR|2007|67.5333514838007
MMR|2008|66.8839311209604
